P1UDT939.1,P1UDT939.2,P1UDT939.3,time
7199.236899981264,7200.289596205172,7200.102045818149,2017-05-01 00:30:00
7199.244256618452,7200.293035209733,7200.108864295124,2017-05-01 00:45:00
